,Unnamed: 0,name,lng,lat,geometry,x,y
70,70,深圳,114.066112,22.548515,POINT (12697781.504608514 2577509.711019977),12697781.504608514,2577509.711019977
71,71,清远,113.062619,23.688238,POINT (12586073.174833898 2715464.3084007907),12586073.174833898,2715464.3084007907
72,72,温州,120.705869,28.001095,POINT (13436915.872839585 3249111.844800277),13436915.872839585,3249111.844800277
73,73,渭南,109.516739,34.505687,POINT (12191347.618819844 4096907.242633041),12191347.618819844,4096907.242633041
74,74,湖州,120.094566,30.899015,POINT (13368865.934159186 3619641.2516237414),13368865.934159186,3619641.2516237414
75,75,湘潭,112.950575,27.83585,POINT (12573600.493807456 3228293.948970339),12573600.493807456,3228293.948970339
76,76,滨州,117.9792,37.388387,POINT (13133384.468197782 4493382.08175046),13133384.468197782,4493382.08175046
77,77,潍坊,119.168138,36.713212,POINT (13265736.440942556 4399207.272046076),13265736.440942556,4399207.272046076
78,78,烟台,121.454425,37.469868,POINT (13520244.745589834 4504804.269711559),13520244.745589834,4504804.269711559
79,79,玉溪,102.5537,24.357512,POINT (11416225.66296614 2797033.412425835),11416225.66296614,2797033.412425835
80,80,珠海,113.583235,22.276392,POINT (12644027.882852728 2544741.903213094),12644027.882852728,2544741.903213094
81,81,盐城,120.168187,33.355301,POINT (13377061.386390878 3942559.747367738),13377061.386390878,3942559.747367738
82,82,盘锦,122.077269,41.125939,POINT (13589579.422513481 5030935.422120065),13589579.422513481,5030935.422120065
83,83,石家庄,114.520828,38.048684,POINT (12748400.258184066 4586305.513926091),12748400.258184066,4586305.513926091
84,84,福州,119.302938,26.080447,POINT (13280742.308301488 3009048.0653007966),13280742.308301488,3009048.0653007966
85,85,秦皇岛,119.606184,39.941259,POINT (13314499.498606583 4857409.865516493),13314499.498606583,4857409.865516493
86,86,绍兴,120.586673,30.036519,POINT (13423647.034814991 3508244.884683653),13423647.034814991,3508244.884683653
87,87,聊城,115.992077,36.462681,POINT (12912178.947694179 4364473.755506619),12912178.947694179,4364473.755506619
88,88,肇庆,112.47177,23.052984,POINT (12520300.165018182 2638427.414928634),12520300.165018182,2638427.414928634
89,89,舟山,122.214339,29.991092,POINT (13604837.985116513 3502404.854546394),13604837.985116513,3502404.854546394
90,90,苏州,120.589613,31.304566,POINT (13423974.314117923 3672366.3248660835),13423974.314117923,3672366.3248660835
91,91,莱芜,117.683221,36.219357,POINT (13100436.236632278 4330846.687271877),13100436.236632278,4330846.687271877
92,92,菏泽,115.487696,35.239435,POINT (12856031.511608375 4196467.197675659),12856031.511608375,4196467.197675659
93,93,营口,122.241475,40.672565,POINT (13607858.75081868 4964164.383283532),13607858.75081868,4964164.383283532
94,94,葫芦岛,120.843388,40.717364,POINT (13452224.417893985 4970741.878861216),13452224.417893985,4970741.878861216
95,95,衡水,115.676942,37.745166,POINT (12877098.27996304 4543488.600371268),12877098.27996304,4543488.600371268
96,96,衢州,118.880768,28.941661,POINT (13233746.55887329 3368222.880783708),13233746.55887329,3368222.880783708
97,97,西宁,101.784269,36.623477,POINT (11330572.99584558 4386753.481240206),11330572.99584558,4386753.481240206
98,98,西安,108.946306,34.347436,POINT (12127847.307728166 4075550.1479092403),12127847.307728166,4075550.1479092403
99,99,贵阳,106.636816,26.652747,POINT (11870756.056936007 3080153.661214059),11870756.056936007,3080153.661214059
