,name,lng,lat,geometry,x,y
152,平顶山市,113.192595,33.766554,POINT (12600542.036969244 3997498.8397019943),12600542.04,3997498.84
153,安阳市,114.39248,36.098779,POINT (12734112.624179732 4314221.736354346),12734112.62,4314221.736
154,鹤壁市,114.297305,35.748329,POINT (12723517.79164348 4266046.85949504),12723517.79,4266046.859
155,新乡市,113.92679,35.303589,POINT (12682272.250512213 4205214.59402031),12682272.25,4205214.594
156,焦作市,113.241902,35.215726,POINT (12606030.867101787 4193236.2276510694),12606030.87,4193236.228
157,濮阳市,115.029246,35.762731,POINT (12804997.0910542 4268022.446146587),12804997.09,4268022.446
158,许昌市,113.852004,34.03732,POINT (12673947.111073744 4033814.291819139),12673947.11,4033814.292
159,漯河市,114.0166,33.58038,POINT (12692269.853980355 3972595.5246563344),12692269.85,3972595.525
160,三门峡市,111.200482,34.773196,POINT (12378781.032206584 4133101.942610817),12378781.03,4133101.943
161,南阳市,112.528549,32.990218,POINT (12526620.774385933 3894005.638468153),12526620.77,3894005.638
162,商丘市,115.656358,34.415165,POINT (12874806.879564553 4084685.708750178),12874806.88,4084685.709
163,信阳市,114.091058,32.148624,POINT (12700558.48062584 3782835.686918341),12700558.48,3782835.687
164,周口市,114.701222,33.634652,POINT (12768481.62640623 3979849.5820419467),12768481.63,3979849.582
165,驻马店市,114.021988,33.014038,POINT (12692869.643396748 3897167.4213735424),12692869.64,3897167.421
166,济源市,112.602347,35.069057,POINT (12534835.930167496 4173269.6790363686),12534835.93,4173269.679
167,武汉市,114.304569,30.593354,POINT (12724326.416424604 3580050.2648875443),12724326.42,3580050.265
168,黄石市,115.038999,30.201082,POINT (12806082.790047908 3529423.334601787),12806082.79,3529423.335
169,十堰市,110.798921,32.629057,POINT (12334079.466164147 3846170.357371182),12334079.47,3846170.357
170,宜昌市,111.286962,30.69217,POINT (12388407.941770386 3592835.756085369),12388407.94,3592835.756
171,襄阳市,112.121743,32.010161,POINT (12481335.337614285 3764644.4902058053),12481335.34,3764644.49
172,鄂州市,114.894909,30.391461,POINT (12790042.764619505 3553968.4042526935),12790042.76,3553968.404
173,荆门市,112.199009,31.035445,POINT (12489936.54938992 3637353.2073942036),12489936.55,3637353.207
174,孝感市,113.956962,30.918311,POINT (12685630.982188426 3622144.8097044122),12685630.98,3622144.81
175,荆州市,112.24143,30.336282,POINT (12494658.833508858 3546849.411873715),12494658.83,3546849.412
176,黄冈市,114.872425,30.453722,POINT (12787539.857188508 3562005.9205046375),12787539.86,3562005.921
177,咸宁市,114.322601,29.84135,POINT (12726333.729482587 3483173.122651019),12726333.73,3483173.123
178,随州市,113.382324,31.690275,POINT (12621662.57263796 3722722.7222329224),12621662.57,3722722.722
179,恩施土家族苗族自治州,109.488076,30.272104,POINT (12188156.868255237 3538574.446300243),12188156.87,3538574.446
180,仙桃市,113.442973,30.328407,POINT (12628413.98843508 3545833.7355593736),12628413.99,3545833.736
181,潜江市,112.900279,30.401954,POINT (12568001.568698516 3555322.6274766643),12568001.57,3555322.627
182,天门市,113.166545,30.663706,POINT (12597642.16423408 3589151.5487928004),12597642.16,3589151.549
183,神农架林区,110.675879,31.745103,POINT (12320382.49337796 3729897.7457793527),12320382.49,3729897.746
184,长沙市,112.938882,28.228304,POINT (12572298.83500161 3277788.3122083903),12572298.84,3277788.312
185,株洲市,113.132783,27.828862,POINT (12593883.795585917 3227414.2868124354),12593883.8,3227414.287
186,湘潭市,112.945439,27.83136,POINT (12573028.756902741 3227728.7330937465),12573028.76,3227728.733
187,衡阳市,112.572016,26.894216,POINT (12531459.498692244 3110261.6412809975),12531459.5,3110261.641
188,邵阳市,111.467855,27.239528,POINT (12408544.858418453 3153429.612646059),12408544.86,3153429.613
189,岳阳市,113.128922,29.35648,POINT (12593453.991031965 3421096.664189082),12593453.99,3421096.664
190,常德市,111.69905,29.031446,POINT (12434281.368092405 3379649.015232206),12434281.37,3379649.015
191,张家界市,110.478887,29.117343,POINT (12298453.44424761 3390589.66380687),12298453.44,3390589.664
192,益阳市,112.355994,28.554853,POINT (12507412.0396521 3319109.879849878),12507412.04,3319109.88
193,郴州市,113.015517,25.770117,POINT (12580829.804178553 2970636.6954429247),12580829.8,2970636.695
194,永州市,111.613482,26.419861,POINT (12424755.981904207 3051176.144456224),12424755.98,3051176.144
195,怀化市,110.001598,27.569813,POINT (12245321.87580638 3194844.517868409),12245321.88,3194844.518
196,娄底市,111.994468,27.699838,POINT (12467167.149423571 3211182.6657186355),12467167.15,3211182.666
197,湘西土家族苗族自治州,109.737428,28.312592,POINT (12215914.60592352 3288441.959008181),12215914.61,3288441.959
198,广州市,113.264499,23.130061,POINT (12608546.353635244 2647754.9115449614),12608546.35,2647754.912
199,韶关市,113.597324,24.810977,POINT (12645596.263158515 2852545.2060114653),12645596.26,2852545.206
