name,lng,lat
钦州市,108.6505975,21.98377918
贵港市,109.5947121,23.1147211
玉林市,110.1765026,22.65680338
百色市,106.6152785,23.90597376
贺州市,111.5621031,24.40721914
河池市,108.080991,24.69565823
来宾市,109.2169412,23.75274377
崇左市,107.3608171,22.37988818
海口市,110.1941231,20.04791813
三亚市,109.5076242,18.25456966
三沙市,112.333737,16.8326352
儋州市,109.5768024,19.5229217
五指山市,109.512689,18.77662265
琼海市,110.4701752,19.26075935
文昌市,110.793037,19.54607362
万宁市,110.3881938,18.79525459
东方市,108.6482117,19.09704416
定安县,110.3535917,19.68294478
屯昌县,110.0972652,19.35321494
澄迈县,110.0032463,19.74077995
临高县,109.686338,19.91413609
白沙黎族自治县,109.4385966,19.22321617
昌江黎族自治县,109.0516679,19.29972616
乐东黎族自治县,109.1692854,18.75171933
陵水黎族自治县,110.0332757,18.50767101
保亭黎族苗族自治县,109.6961527,18.64212844
琼中黎族苗族自治县,109.8343472,19.03510797
重庆市,106.5467633,29.56655324
成都市,104.0637964,30.5754155
自贡市,104.7766109,29.34210026
攀枝花市,101.7168857,26.5859851
泸州市,105.4382741,28.87401764
德阳市,104.395113,31.12958969
绵阳市,104.6765103,31.46994909
广元市,105.8402995,32.43817464
遂宁市,105.5891927,30.53547443
内江市,105.054766,29.58278692
乐山市,103.7638764,29.55503153
南充市,106.1065457,30.83951743
眉山市,103.8463151,30.07993448
宜宾市,104.640444,28.75578247
广安市,106.6288565,30.459131
达州市,107.4631241,31.21142365
雅安市,103.0395613,30.01258177
巴中市,106.7434034,31.87003444
资阳市,104.6248617,30.13208353
阿坝藏族羌族自治州,102.2228596,31.90167155
甘孜藏族自治州,101.9607908,30.05234063
凉山彝族自治州,102.2662182,27.88482772
贵阳市,106.6246361,26.65036573
六盘水市,104.8278191,26.59615766
遵义市,107.027727,27.72519719
安顺市,105.9442342,26.25663284
毕节市,105.2883073,27.28698351
铜仁市,109.184949,27.73482704
黔西南布依族苗族自治州,104.9039523,25.09084201
黔东南苗族侗族自治州,107.9787015,26.58729486
黔南布依族苗族自治州,107.5181394,26.25657531
昆明市,102.8322539,24.88456051
曲靖市,103.794265,25.49386797
玉溪市,102.5253706,24.34980001
保山市,99.16057007,25.11487459
昭通市,103.7149854,27.34161025
丽江市,100.2248026,26.85871038
普洱市,100.9648357,22.82822175
临沧市,100.0875852,23.88676238
楚雄彝族自治州,101.5268349,25.04871691
红河哈尼族彝族自治州,103.3728489,23.36564308
文山壮族苗族自治州,104.2135688,23.40363346
西双版纳傣族自治州,100.7958784,22.01189695
大理白族自治州,100.2665097,25.60958163
德宏傣族景颇族自治州,98.58546814,24.43631797
怒江傈僳族自治州,98.85620765,25.82087078
迪庆藏族自治州,99.70101731,27.82264468
拉萨市,91.17045622,29.65627983
日喀则市,88.87838796,29.27010322
昌都市,97.16988613,31.14520097
林芝市,94.36027067,29.65144004
山南市,91.77021222,29.24080385
那曲市,92.05023009,31.48014348
阿里地区,80.10357012,32.50346887
西安市,108.9349896,34.34476197
铜川市,108.9403998,34.89821737
宝鸡市,107.2329895,34.36428117
咸阳市,108.7041644,34.33133837
渭南市,109.4656925,34.5218316
延安市,109.4892869,36.64998978
汉中市,107.0186688,33.0682607
榆林市,109.7285205,38.28524221
安康市,109.0241521,32.68750551
商洛市,109.9136886,33.87506057
兰州市,103.8318248,36.06112521
嘉峪关市,98.28760244,39.7724188
金昌市,102.1859827,38.52102999
白银市,104.1360551,36.54503187
天水市,105.7208912,34.58283154
武威市,102.6361047,37.92869446
张掖市,100.4481562,38.92412843
平凉市,106.6606902,35.54288369
酒泉市,98.49368558,39.73259319
庆阳市,107.6386901,35.70985519
定西市,104.5897219,35.60849101
陇南市,104.9572902,33.37207924
临夏回族自治州,103.2081434,35.60215126
甘南藏族自治州,102.9100125,34.98440389
西宁市,101.775862,36.61670253
海东市,102.4086211,36.47339166
海北藏族自治州,100.8994897,36.95465787
黄南藏族自治州,102.0135111,35.51973072
海南藏族自治州,100.6213653,36.296796
果洛藏族自治州,100.2438205,34.47365793
玉树藏族自治州,97.00586132,33.00844696
海西蒙古族藏族自治州,97.33125441,37.34770907
银川市,106.2265781,38.48732343
石嘴山市,106.3780812,38.98379032
吴忠市,106.1942143,37.99721201
固原市,106.2384747,36.01646433
中卫市,105.1930022,37.49963062
乌鲁木齐市,87.61397404,43.82417146
克拉玛依市,84.88683461,45.57690761
吐鲁番市,89.18753374,42.94918507
哈密市,93.51345509,42.81783331
昌吉回族自治州,87.30588156,44.00972568
博尔塔拉蒙古自治州,82.06308108,44.90501765
巴音郭楞蒙古自治州,86.14264545,41.76261067
阿克苏地区,80.26289703,41.1697266
克孜勒苏柯尔克孜自治州,76.16428674,39.71431955
喀什地区,75.98679119,39.47026511
和田地区,79.91972913,37.11474701
伊犁哈萨克自治州,81.32064308,43.91585532
塔城地区,82.97715149,46.74465372
阿勒泰地区,88.13790065,47.84362113
石河子市,86.07755739,44.30413694
阿拉尔市,81.27774652,40.54664033
图木舒克市,79.07255614,39.8672186
五家渠市,87.53990476,44.16543992
北屯市,87.8001,47.3633
铁门关市,85.66779088,41.86174462
双河市,82.355,44.8442
可克达拉市,81.0448,43.948
昆玉市,79.2913,37.2095
台湾省,120.9605,23.6978
香港特别行政区,114.1694,22.3193
澳门特别行政区,113.5439,22.1987
